Empire State of Mind | Jay-Z
Juicy | Notorious B.I.G.
No One | Alicia Keys
Piano Man | Billy Joel
C.R.E.A.M. | Wu-Tang Clan
Can I Kick It? | A Tribe Called Quest
If I Ruled the World | Nas
Super Bass | Nicki Minaj
Bodak Yellow | Cardi B
Poker Face | Lady Gaga
The Way We Were | Barbra Streisand
The Sound of Silence | Simon & Garfunkel
Sabotage | Beastie Boys
In Da Club | 50 Cent
Mama Said Knock You Out | LL Cool J
It's Tricky | Run-DMC
We Belong Together | Mariah Carey
I Wanna Dance with Somebody | Whitney Houston
Jenny from the Block | Jennifer Lopez
My Prerogative | Bobby Brown
Heart of Glass | Blondie
Blitzkrieg Bop | The Ramones
Psycho Killer | Talking Heads
Walk on the Wild Side | Lou Reed
Crush on You | Lil Kim
Lean Back | Fat Joe
Always on Time | Ja Rule
Party Up (Up in Here) | DMX
Shook Ones Pt. II | Mobb Deep
The Bridge Is Over | KRS-One
