HUMBLE. | Kendrick Lamar
Hotline Bling | Drake
Gold Digger | Kanye West
Lose Yourself | Eminem
Lollipop | Lil Wayne
Hey Ya! | OutKast
Work It | Missy Elliott
Drop It Like It's Hot | Snoop Dogg
Still D.R.E. | Dr. Dre
Doo Wop (That Thing) | Lauryn Hill
California Love | Tupac
It Was a Good Day | Ice Cube
Get Back | Ludacris
Whatever You Like | T.I.
Hot in Herre | Nelly
Get Low | Lil Jon
Cocoa Butter Kisses | Chance the Rapper
No Role Modelz | J. Cole
SICKO MODE | Travis Scott
See You Again | Tyler, the Creator
Savage | Megan Thee Stallion
Redbone | Childish Gambino
Happy | Pharrell Williams
Break Ya Neck | Busta Rhymes
Bring the Pain | Method Man
Black and Yellow | Wiz Khalifa
Self Care | Mac Miller
Congratulations | Post Malone
Say So | Doja Cat
Old Town Road | Lil Nas X
