Like a Prayer | Madonna
Crazy in Love | Beyoncé
I Wanna Dance with Somebody | Whitney Houston
We Belong Together | Mariah Carey
Bad Romance | Lady Gaga
Rolling in the Deep | Adele
Umbrella | Rihanna
Shake It Off | Taylor Swift
...Baby One More Time | Britney Spears
Genie in a Bottle | Christina Aguilera
thank u, next | Ariana Grande
Hips Don't Lie | Shakira
Believe | Cher
I'm Coming Out | Diana Ross
Nasty | Janet Jackson
What's Love Got to Do with It | Tina Turner
Raise Your Glass | Pink
Firework | Katy Perry
Levitating | Dua Lipa
Good as Hell | Lizzo
good 4 u | Olivia Rodrigo
bad guy | Billie Eilish
Bodak Yellow | Cardi B
Super Bass | Nicki Minaj
Wrecking Ball | Miley Cyrus
Wannabe | Spice Girls
Hollaback Girl | Gwen Stefani
Chandelier | Sia
Royals | Lorde
