Hot in Herre | Nelly
Yeah! | Usher
Hey Ya! | OutKast
Get Busy | Sean Paul
Jumpin' Jumpin' | Destiny's Child
Work It | Missy Elliott
In Da Club | 50 Cent
Stronger | Kanye West
Let's Get It Started | The Black Eyed Peas
Rock Your Body | Justin Timberlake
Goodies | Ciara
Buy U a Drank | T-Pain
Right Thurr | Chingy
Get Low | Lil Jon & The East Side Boyz
Stand Up | Ludacris
Let Me Love You | Mario
Smack That | Akon
Always on Time | Ja Rule
Touch It | Busta Rhymes
Breathe | Fabolous
1 Thing | Amerie
Me & U | Cassie
Forever | Chris Brown
Whatever You Like | T.I.
Back That Azz Up | Juvenile
Ridin' | Chamillionaire
Milkshake | Kelis
So Sick | Ne-Yo
Foolish | Ashanti
Let Me Blow Ya Mind | Eve
