Mo Money Mo Problems | Notorious B.I.G.
C.R.E.A.M. | Wu-Tang Clan
Money | Cardi B
Bitch Better Have My Money | Rihanna
Started From the Bottom | Drake
Bills, Bills, Bills | Destiny's Child
Money, Money, Money | ABBA
Money | Pink Floyd
Price Tag | Jessie J
24K Magic | Bruno Mars
Gold Digger | Kanye West
I Get Money | 50 Cent
Billionaire | Travie McCoy
She Works Hard for the Money | Donna Summer
For the Love of Money | The O'Jays
Money Talks | AC/DC
Got Money | Lil Wayne
Hustlin' | Rick Ross
Cash Shit | Megan Thee Stallion
About Damn Time | Lizzo
No Scrubs | TLC
Glamorous | Fergie
It's All About the Benjamins | Puff Daddy
Money Maker | Ludacris
Ride Wit Me | Nelly
Royals | Lorde
Money on My Mind | Sam Smith
Rich Girl | Hall & Oates
Boss Bitch | Doja Cat
All I Do Is Win | DJ Khaled
