Summer | Calvin Harris
Wake Me Up | Avicii
One More Time | Daft Punk
Closer | The Chainsmokers
Happier | Marshmello
Clarity | Zedd
Titanium | David Guetta
Never Be Like You | Flume
Lean On | Major Lazer
Animals | Martin Garrix
Bangarang | Skrillex
Red Lights | Tiësto
Revolution | Diplo
Don't You Worry Child | Swedish House Mafia
Firestone | Kygo
A Moment Apart | ODESZA
Latch | Disclosure
Dancing on My Own | Robyn
Midnight City | M83
Electric Feel | MGMT
The Less I Know the Better | Tame Impala
Dog Days Are Over | Florence + The Machine
Radioactive | Imagine Dragons
Pursuit of Happiness | Kid Cudi
Heat Waves | Glass Animals
Stressed Out | Twenty One Pilots
Pompeii | Bastille
Pumped Up Kicks | Foster the People
Young Dumb & Broke | Khalid
Lights | Ellie Goulding
