You Make Me Wanna | Usher
Are You That Somebody? | Aaliyah
Doo Wop (That Thing) | Lauryn Hill
Untitled (How Does It Feel) | D'Angelo
Love of My Life | Erykah Badu
Where the Party At | Jagged Edge
Nobody | Keith Sweat
Peaches & Cream | 112
Pony | Ginuwine
Ignition (Remix) | R. Kelly
Kiss Me More | SZA
Blinding Lights | The Weeknd
Thinkin Bout You | Frank Ocean
Adorn | Miguel
The Worst | Jhené Aiko
Playing Games | Summer Walker
Best Part | H.E.R.
Need U Bad | Jazmine Sullivan
The Boy Is Mine | Brandy & Monica
If I Ain't Got You | Alicia Keys
Kissin' You | Total
Too Close | Next
I Wanna Know | Joe
In My Bed | Dru Hill
Freek'n You | Jodeci
Un-Break My Heart | Toni Braxton
Back at One | Brian McKnight
Freak Me | Silk
Don't Let Go (Love) | En Vogue
Real Love | Mary J. Blige
