Crazy in Love | Beyoncé
Uptown Funk | Mark Ronson
I Wanna Dance with Somebody | Whitney Houston
Bohemian Rhapsody | Queen
Billie Jean | Michael Jackson
Mr. Brightside | The Killers
Good as Hell | Lizzo
HUMBLE. | Kendrick Lamar
Timber | Pitbull
Party Rock Anthem | LMFAO
Don't Stop Believin' | Journey
Shut Up and Dance | Walk the Moon
Can't Hold Us | Macklemore
Livin' on a Prayer | Bon Jovi
Low | Flo Rida
Praise You | Fatboy Slim
Jump Around | House of Pain
Everybody (Backstreet's Back) | Backstreet Boys
This Is How We Do It | Montell Jordan
I Gotta Feeling | The Black Eyed Peas
It Wasn't Me | Shaggy
Whoomp! (There It Is) | Tag Team
Here Comes the Hotstepper | Ini Kamoze
Gangsta's Paradise | Coolio
Ice Ice Baby | Vanilla Ice
Baby Got Back | Sir Mix-a-Lot
C'mon N' Ride It (The Train) | Quad City DJ's
Turn Down for What | DJ Snake
Crank That | Soulja Boy
Good Vibrations | Marky Mark
